unlist(Academics_clean)
got
midterm
grades
making
straight
cs
impossible
3.5
next
semester
4192
3
b's
transcript
lower
grades
guess
absolutely
nothing
self
worth
11142
mistakenly
got
invitation
dean's
list
awards
banquet
since
gpa
qualified
everyone
email
email
back
saying
sent
wrong
person
13056
got
chem
prelims
checked
grade
c
fuck
10967
freshman
failing
chemistry
classes
understand
chemistry
fail
class
kicked
trying
hard
scared
able
pull
passing
grade
147
happy
got
cornell
feel
getting
med
school
miracle
dumb
school
relax
enjoy
classes
meet
nice
people
go
real
dates
cute
girls
everyone
wants
study
24
7
beat
curve
rare
saturday
night
wasted
cheap
hook
chill
cornell
grading
curves
forces
everyone
hate
everyone
else
robots
pretty
failed
exam
major
2884
hate
frat
bro
1
dude
totally
bombed
prelim
frat
bro
2
aw
man
sucks
bad
frat
bro
1
got
mean
unless
class
curved
f
fail
got
mean
please
shut
busting
ass
rarely
beat
mean
exams
seem
matter
hard
try
8075
freshman
athlete
engineering
already
struggling
intro
classes
survive
advice
freshman
little
academic
motivation
scholarship
s
significant
require
3.5
gpa
already
basically
screwed
semester
major
biomedical
science
going
complete
2
4
classes
2.9
gpa
likely
2.0
continue
lazy
ass
2981
bombed
chem
2080
pre
lim
mean
66
100
got
39
100
advice
drop
course
retake
next
year
currently
pre
med
semester
ends
academically
used
smart
maybe
leave
nothing
anyone
thought
least
top
30
academically
living
living
checked
elearning
failed
class
bad
transcript
failed
class
semester
failed
biology
test
professor
asked
visited
math
skills
center
math
bio
class
mean
easily
understand
confused
bombing
several
classes
semester
parents
decided
cut
financial
support
feel
sense
freedom
empowerment
deceiving
17432
bummed
prelims
worry
many
people
boat
seem
big
deal
prelims
better
invigorating
song
http
www.youtube.com
watch
v
lkgqncvifok
8100
telling
student
cheating
others
grade
better
study
hard
mind
business
18721
verge
failing
2
classes
fml
started
edu
cornell
im
f
cking
around
im
trying
really
hard
ugh
extreme
depression
im
going
soon
brutal
16897
thought
math
2220
prelim
really
f
cking
hard
18435
world
professor
assign
presentation
prelim
paper
break
specifically
prelim
tuesday
break
professors
really
cared
realize
ones
teach
cornell
annoying
stressful
final
instead
cramming
failing
would've
loved
manage
time
better
wait
assignments
due
break
hating
classes
professors
everything
need
long
break
asap
11448
expect
impossible
got
92
prelim
semester
sort
started
freaking
remaining
exams
dissapointed
95
another
prelim
received
nearly
credit
thus
another
class
yet
stressing
final
going
graded
harshly
inability
accept
anything
less
perfection
interfering
quality
life
sometimes
paralyzes
killing
productivity
resulting
nasty
positive
feedback
loop
work
play
jack
dull
boy
gives
tension
headaches
persistent
nausea
give
feels
11373
met
girl
problem
freshman
graduate
oh
guess
mention
senior
senioritis
remember
remember
big
romantic
gesture
ways
smile
spent
night
star
gazing
opened
broke
tears
talking
something
never
talked
anyone
struggling
grades
losing
scholarships
despite
hard
working
stressed
manic
yea
screwed
immediately
apologized
tried
finding
ways
apparently
forgot
past
made
villain
wanted
nothing
burned
heart
know
vile
woman
recovered
tm
got
kicked
college
science
im
lost
words
file
appeal
go
general
studies
13057
know
people
getting
c
class
big
deal
premed
class
keep
getting
c's
math
chem
feel
failure
1364
major
biology
throughout
college
career
always
feel
wrong
major
yet
refused
change
keep
thinking
upcoming
courses
going
better
fail
expectations
every
single
time
late
change
major
problem
every
subject
investigate
surface
delve
deep
anything
major
person
anyone
else
stat
211
shit
pop
problems
holy
shit
bitch
11674
seems
whenever
study
group
seem
know
material
best
everyone
groups
always
ends
getting
higher
grade
beat
mean
test
really
done
single
test
year
despite
adamant
efforts
studying
know
complete
idiot
drives
crazy
knowing
mediocre
students
knew
high
school
attend
colleges
non
ivy's
pulling
4.0
s
minimal
effort
feel
sense
self
entitlement
busting
ass
score
standard
deviation
mean
life
know
anymore
freshman
major
biology
68
class
working
ass
go
parties
almost
entirely
given
social
networks
texting
study
least
4
5
days
advance
poorly
tests
someone
go
insane
wtf
wrong
thinks
inappropriate
discuss
grades
publicly
6385
actually
planning
drop
course
getting
w
go
goes
professor's
office
hours
student
problem
homework
problem
professor
really
quite
simple
student
thanks
making
feel
stupid
17482
feel
problem
academic
automatically
downgraded
people
family
trouble
money
problems
large
medical
problems
others
prelims
week
x
amount
problem
sets
struggling
explain
severity
problem
actually
time
consuming
stop
going
club
frat
events
drop
class
research
leave
need
deal
non
academic
problems
people
free
time
easy
classes
worry
friends
give
dirty
looks
need
leave
actually
eat
sleep
shocker
handle
stress
better
howdy
ags
semester
pretty
feeling
failure
go
party
time
skip
class
going
2
d's
semester
pretty
bummed
parents
hell
going
happy
live
learn
guess
hopefully
behind
major
guess
time
6388
work
done
none
spring
break
idea
plan
plans
study
exams
break
ends
know
full
joy
determination
feel
million
bucks
yolo
helps
sarahze
happiness
determination
lets
sarahze
life
time
work
ass
proud
stop
living
regret
hey
guys
got
gpa
2.0
anyone
else
position
apart
working
harder
guess
trying
happen
458
trying
hard
cry
go
write
feel
helpless
inadequate
anymore
pre
med
killing
doctor
anymore
handle
stress
matter
love
profession
dreamed
become
medical
doctor
seem
takes
love
something
mean
good
effort
money
guess
feel
inadequate
11218
every
time
someone
leave
punch
face
considered
huge
amount
time
money
transfer
takes
thought
certainly
loose
credits
process
spend
total
time
college
go
really
comes
fact
people
simply
resources
emotions
okay
freshman
month
texas
m
college
station
boyfriend
almost
year
family
become
second
family
mom
kicked
house
recently
anymore
type
wants
know
every
single
little
going
pressure
handle
especially
taking
16
hrs
semester
math
honors
class
plus
love
involved
action
tradition
spirit
stuff
m
idk
back
hometown
stay
else
absolutely
fucked
engr111
project
3938
got
nyu
knew
major
wanted
complete
career
wanted
follow
single
knew
standards
basically
knew
wanted
six
months
later
idea
spending
60k
year
going
worth
love
guy
thousands
miles
page
idea
life
letting
important
person
life
everything
scared
feel
breathe
times
1133
graduate
rejected
grad
schools
applied
little
job
opportunities
degree
major
scared
death
chosen
study
anything
else
damn
chance
hell
2544
honestly
screwed
principles
biology
1
actually
embarrassing
someone
studied
gonna
cry
break
50th
time
freshman
engineering
major
absolutely
engineer
switching
communications
asap
decide
whether
worth
q
drop
2
classes
g
stud
semester
q
drop
3
go
straight
comm
little
