unlist(Death_clean)
4124
time
wondered
class
final
kill
fail
cornell
many
perfectionists
choose
thought
suicide
history
time
real
talk
regarding
whole
fish
camp
photos
people
mistakes
clearly
mistake
quite
positive
camp
intending
disrespectful
looking
everyone's
find
bunch
rude
comments
condemning
fish
camp
everyone's
acting
never
made
mistake
perfect
aggie
neither
things
apologize
terrible
horrible
organization
duh
apologize
camp
20
something
counselors
1000
odd
people
whole
dang
organization
fish
camp
alot
great
things
went
really
received
fire
aggie
spirit
experience
learned
school
amazing
traditions
people
please
stop
rude
remarks
makes
fire
bigger
solve
anything
makes
heck
alot
worse
many
mean
comments
people
organization
nothing
nice
nobody
perfect
got
learn
mistakes
eachother
along
core
values
respect
respect
eachother
bombing
boston
occurred
felt
families
intense
rage
towards
done
took
complete
satisfaction
knowing
unstoppable
chain
events
never
know
people's
demise
insensitive
suicide
crime
places
earth
always
wondered
play
game
going
kill
guess
dorm
room
mine
3095
go
father's
funeral
never
cried
cory
monteith's
finn
hudson
glee
death
always
watched
glee
connected
character
similar
struggles
believe
happened
honestly
felt
really
close
friend
21
year
old
guy
watching
glee
outlet
closet
homosexual
normal
guy
loves
practically
every
sport
love
musicals
acting
singing
fellow
gleeks
stop
believing
dog
died
winterbreak
7
year
old
beagle
neighbors
recently
got
german
shepard
dog
constantly
start
shit
dog
bark
dog
howl
back
neighbors
always
complain
us
week
half
ago
dog
jumped
wall
killed
dog
saw
happen
nothing
worst
part
went
yelled
neighbors
nerve
dog
instigated
fight
claiming
dog
hurt
fly
pissed
live
near
wooded
area
told
parents
wild
animal
must
attacked
report
wanted
deal
days
ago
watched
house
waited
leave
left
made
ringing
doorbell
several
times
answered
injected
large
amount
rat
poison
meat
fed
dog
every
twenty
minutes
different
pieces
meat
hours
dog
ate
watched
dog
became
sick
watched
family
save
watched
kids
cried
parents
grew
upset
watched
buried
dog
backyard
little
cross
know
felt
good
exhilarating
watching
hope
fade
faces
gratifying
seeing
dog
suffer
vomit
profusely
typing
start
feel
rush
excitement
got
revenge
felt
fantastic
r.i.p
otis
back
death
penalty
confession
room
essentially
giant
blocked
treadmill
made
sandpaper
people
time
page
saying
rapists
need
death
penalty
people
talk
1
1
death
penalty
general
bad
contradictory
logic
anyways
best
death
penalty
hire
serial
killer
already
death
row
carry
another's
execution
normal
hanging
normal
people
guards
ptsd
whatever
return
killer
gets
1
week
stay
execution
great
plan
amirite
grandpa
die
hard
st
louis
cardinals
fan
wisconsin
growing
farm
cardinals
games
radio
pick
suffered
several
ailments
many
years
including
parkinson
disease
died
middle
school
soon
family
cardinals
moved
grandma's
back
yard
coincidence
campus
volunteer
lab
researching
affects
parkinsons
today
spent
afternoon
finishing
project
lab
saw
beautiful
bright
red
cardinal
perched
tree
outside
vanhise
soon
left
msc
someone
likes
granddaughter
uw
madison
many
miracles
campus
complex
manager
woodlands
least
six
people
immediate
family
die
eight
months
missed
full
week
work
every
time
heck
find
job
six
weeks
year
without
prior
notice
employed
admin
edit
snide
suggesting
requests
fraudulent
saying
know
requests
valid
ass
commenting
time
taken
vs
employment
serious
read
up.it's
called
bereavement
leave
trust
varies
company
employer
individual
boss
gets
approved
known
engineer
miss
work
entire
year
go
overseas
loss
things
sorted
squared
europe
came
back
continue
duties
pay
stops
formal
bereavement
leave
allotment
taken
unpaid
leave
company
offer
3
months
bereavement
unpaid
leave
single
incident
depends
worth
position
length
service
nature
situation
thirteen
embassy
attacks
happened
gwb
costing
us
dozens
lives
republicans
give
shits
incident
happens
benghazi
costing
us
four
lives
ready
impeach
president
talk
iraq
war
based
lie
cost
us
"4,000"
lives
knows
many
innocent
iraqi
civilians
agree
liberals
everything
hell
willing
vote
rubio
clinton
2016
republicans
become
slimy
hypocrites
gone
stomach
thought
voting
anymore
genius
democrats
favor
unrestricted
welfare
votes
actually
bill
clinton
passed
welfare
reform
drastically
limited
size
scope
benefits
people
receive
4
population
welfare
whereas
52
population
voted
democrat
election
people
vote
democrat
getting
government
goods
vote
democrat
many
republicans
uninformed
extremists
prayers
families
affected
fort
hood
shooting
4
2
14
bright
idea
disarm
military
personnel
bases
admin
edit
tough
times
depressing
everyone
thoughts
prayers
go
long
anyone
affected
disarming
however
cut
dry
place
blame
entity
entirely
true
historical
context
least
army
originated
dod
directive
1992
years
branches
picked
similar
initiatives
range
installation
installation
nature
quick
trip
history
lane
policy
various
military
forces
around
world
ages
back
ancient
greece
athenian
hoplites
store
weaponry
within
armory
standing
roman
armies
permitted
within
inner
gates
rome
nothing
else
movie
gladiator
made
remark
arms
stored
castle
armories
medieval
era
scale
application
practice
varied
years
1016
police
trucks
load
drunken
people
remind
something
horror
movie
transport
system
inevitable
death
gas
chamber
morning
walked
german
class
heart
heavy
memory
tragic
events
occurred
classmates
asked
going
responded
sad
asked
reminded
today
september
11th
universally
mourned
country
paused
moment
took
words
looking
window
sunshine
responding
simply
yeah
today
good
know
thank
reminding
grieve
lost
darkness
forever
